SiteID,Site_Description_Cap,Site_Description_Lower,Region,Lat,Long
1,ABBEY ST @ MARLBOROUGH ST (LUAS),abbey st @ marlborough st (luas),CCITY,53.348756,-6.257608
2,AMIENS ST @ SEVILLE PL,amiens st @ seville pl,CCITY,53.354711,-6.246679
3,AMIENS ST @ TALBOT ST,amiens st @ talbot st,CCITY,53.351374,-6.250073
4,ANNESLEY PL @ POPLAR ROW,annesley pl @ poplar row,NCITY,53.361145,-6.240513
5,NCR @ AUGHRIM ST,ncr @ aughrim st,WCITY1,53.355797,-6.292406
6,BAGGOT ST BRIDGE,baggot st bridge,SCITY,53.334055,-6.245199
7,BAGGOT ST @ FITZWILLIAM ST,baggot st @ fitzwilliam st,SCITY,53.336815,-6.249116
8,BAGGOT ST @ WATERLOO RD,baggot st @ waterloo rd,SCITY,53.333171,-6.243319
9,BALLYBOUGH RD @ CLONLIFFE RD (LUKE KELLY BR),ballybough rd @ clonliffe rd (luke kelly br),NCITY,53.361367,-6.242793
10,BALLINTEER@WYCKHAM/WOODPARK &THE HEIGHTS(P523),ballinteer@wyckham/woodpark &the heights(p523),IRE,53.27298881,-6.243635717
10,BALLYGALL RD WEST @ CLUNE RD,ballygall rd west @ clune rd,NCITY,53.389761,-6.293554
11,BALLYMUN RD @ GLASNEVIN AV,ballymun rd @ glasnevin av,NCITY,53.389766,-6.293585
12,BALLYMUN RD @ GRIFFITH AV,ballymun rd @ griffith av,NCITY,53.378896,-6.266859
13,BALLYMUN RD @ ST PAPPINS RD,ballymun rd @ st pappins rd,NCITY,53.385948,-6.265175
14,BATH ST @ BEACH RD / DOCK RD,bath st @ beach rd / dock rd,SCITY,53.33808633,-6.22070852
15,BEAUMONT RD @ SHANTALLA RD,beaumont rd @ shantalla rd,NCITY,53.385381,-6.233328
17,BERESFORD PL @ EDEN QUAY,beresford pl @ eden quay,CCITY,53.34839,-6.255166
18,NCR @ BERKELEY RD,ncr @ berkeley rd,NCITY,53.360497,-6.269626
19,BLACKHALL PL @ BENBURB ST (LUAS),blackhall pl @ benburb st (luas),CCITY,53.347348,-6.28234
20,BLACKHALL PL @ NORTH KING ST,blackhall pl @ north king st,CCITY,53.350022,-6.281693
21,CAPEL ST @ BOLTON ST,capel st @ bolton st,NCITY,53.351066,-6.270081
22,KEVIN ST @ BRIDE ST,kevin st @ bride st,SCITY,53.338178,-6.269269
23,CABRA RD @ ANNAMOE TCE,cabra rd @ annamoe tce,WCITY1,53.36116,-6.286128
24,CAMDEN ST @ CHARLOTTE ST,camden st @ charlotte st,SCITY,53.33363351,-6.2650364
25,CAMDEN ST @ HARCOURT RD (KELLYS CORNER),camden st @ harcourt rd (kellys corner),SCITY,53.332574,-6.264879
26,CAPEL ST BRIDGE,capel st bridge,CCITY,53.345767,-6.267802
27,CAPPAGH RD @ CARDIFFSBRIDGE RD,cappagh rd @ cardiffsbridge rd,NCITY,53.389159,-6.312446
29,CATHAL BRUGHA ST @ MARLBORO ST,cathal brugha st @ marlboro st,CCITY,53.352363,-6.259162
30,CHAPELIZOD RD @ BALLYFERMOT HILL,chapelizod rd @ ballyfermot hill,WCITY1,53.347894,-6.346079
31,CHAPELIZOD RD @ MARTINS ROW,chapelizod rd @ martins row,WCITY1,53.348321,-6.342702
32,BOTANIC RD @ MOBHI RD / FAIRFIELD RD,botanic rd @ mobhi rd / fairfield rd,NCITY,53.370333,-6.268485
33,CHARLEMONT ST @ GRAND PARADE,charlemont st @ grand parade,SCITY,53.33036,-6.260034
34,HARCOURT RD @ HARCOURT ST/CHARLEMONT ST (LUAS),harcourt rd @ harcourt st/charlemont st (luas),SCITY,53.33275053,-6.262871769
35,NICHOLAS ST @ CHRISTCHURCH PL,nicholas st @ christchurch pl,SCITY,53.342866,-6.271874
36,CHURCH ST @ KING ST NORTH,church st @ king st north,CCITY,53.350115,-6.274547
37,CHURCH ST BRIDGE,church st bridge,CCITY,53.345614,-6.275764
38,SCR @ CLANBRASSIL ST (LEONARDS CORNER),scr @ clanbrassil st (leonards corner),SCITY,53.33223388,-6.275230456
39,CLARE ST @ MERRION SQ,clare st @ merrion sq,CCITY,53.341155,-6.250742
40,CLONLIFFE RD @ JONES RD,clonliffe rd @ jones rd,NCITY,53.362621,-6.252298
41,CLONTARF RD @ CASTLE AVE,clontarf rd @ castle ave,NCITY,53.360331,-6.20969
42,CONCOLBERT RD @ MEMORIAL PARK RD,concolbert rd @ memorial park rd,WCITY1,53.34282151,-6.316897682
43,COLLINS AV @ GRACE PARK RD,collins av @ grace park rd,NCITY,53.3810861,-6.2392187
44,CONSTITUTION HILL @ WESTERN WAY,constitution hill @ western way,NCITY,53.354362,-6.273197
45,SCR @ CONYNGHAM RD,scr @ conyngham rd,WCITY1,53.348265,-6.30847
46,CRUMLIN RD @ DOLPHINS BARN BRIDGE,crumlin rd @ dolphins barn bridge,SCITY,53.332073,-6.293524
47,CRUMLIN RD @ SUNDRIVE RD,crumlin rd @ sundrive rd,WCITY1,53.33015,-6.298166
48,DAME ST @ PARLIAMENT,dame st @ parliament,CCITY,53.344118,-6.26722
49,DAME ST @ GEORGES ST,dame st @ georges st,CCITY,53.344169,-6.264473
50,DAME ST @ TRINITY ST,dame st @ trinity st,CCITY,53.3230094,-6.2383055
51,DARTRY RD @ ORWELL PK,dartry rd @ orwell pk,WCITY1,53.30913765,-6.260753211
53,HERBERTON RD @ DOLPHIN RD,herberton rd @ dolphin rd,SCITY,53.3340238,-6.299227
54,SCR @ DOLPHIN'S BARN,scr @ dolphin's barn,SCITY,53.333527,-6.291346
55,DORSET ST @ BELVIDERE RD,dorset st @ belvidere rd,NCITY,53.3607579,-6.2601443
56,DORSET ST @ DOMINICK ST,dorset st @ dominick st,CCITY,53.35304511,-6.26825977
57,DORSET ST @ ECCLES ST,dorset st @ eccles st,NCITY,53.357511,-6.263842
58,DORSET ST / FREDERICK ST / BLESSINGTON ST,dorset st / frederick st / blessington st,NCITY,53.356051,-6.265229
59,DORSET ST @ GARDINER ST,dorset st @ gardiner st,NCITY,53.359011,-6.261967
60,DORSET ST @ GRANBY ROW & PED AT PARNELL SQ,dorset st @ granby row & ped at parnell sq,NCITY,53.3543772,-6.2667336
