Year,Month,Day,Site,SumOfSumVolume
2020,1,1,1,3997
2020,1,2,1,5954
2020,1,3,1,6299
2020,1,4,1,5062
2020,1,5,1,4097
2020,1,6,1,6149
2020,1,7,1,6339
2020,1,8,1,6370
2020,1,9,1,6434
2020,1,10,1,6724
2020,1,11,1,5680
2020,1,12,1,4177
2020,1,13,1,6388
2020,1,14,1,6586
2020,1,15,1,6513
2020,1,16,1,6666
2020,1,17,1,6870
2020,1,18,1,5438
2020,1,19,1,4392
2020,1,20,1,6140
2020,1,21,1,6729
2020,1,22,1,6582
2020,1,23,1,6646
2020,1,24,1,6846
2020,1,25,1,5620
2020,1,26,1,4354
2020,1,27,1,6154
2020,1,28,1,6575
2020,1,29,1,6274
2020,1,30,1,6493
2020,1,31,1,6901
2020,2,1,1,5501
2020,2,2,1,4548
2020,2,3,1,6243
2020,2,4,1,6552
2020,2,5,1,6758
2020,2,6,1,6732
2020,2,7,1,7019
2020,2,8,1,5928
2020,2,9,1,4531
2020,2,10,1,6440
2020,2,11,1,6552
2020,2,12,1,6656
2020,2,13,1,6915
2020,2,14,1,7156
2020,2,15,1,5894
2020,2,16,1,4382
2020,2,17,1,6403
2020,2,18,1,6571
2020,2,19,1,6650
2020,2,20,1,6984
2020,2,21,1,7238
2020,2,22,1,5718
2020,2,23,1,4424
2020,2,24,1,6340
2020,2,25,1,6689
2020,2,26,1,6836
2020,2,27,1,7045
2020,2,28,1,7064
2020,2,29,1,5536
2020,3,1,1,4318
2020,3,2,1,6561
2020,3,3,1,6836
2020,3,4,1,6646
2020,3,5,1,7078
2020,3,6,1,7138
2020,3,7,1,5829
2020,3,8,1,4637
2020,3,9,1,6573
2020,3,10,1,6614
2020,3,11,1,6651
2020,3,12,1,6494
2020,3,13,1,6267
2020,3,14,1,4796
2020,3,15,1,3464
2020,3,16,1,5370
2020,3,17,1,3112
2020,3,18,1,5326
2020,3,19,1,5071
2020,3,20,1,5027
2020,3,21,1,3537
2020,3,22,1,2560
2020,3,23,1,4686
2020,3,24,1,4788
2020,3,25,1,4721
2020,3,26,1,4501
2020,3,27,1,4613
2020,3,28,1,3012
2020,3,29,1,2040
2020,3,30,1,2966
2020,3,31,1,4027
2020,4,1,1,3955
2020,4,2,1,3991
2020,4,3,1,3922
2020,4,4,1,3009
2020,4,5,1,2117
2020,4,6,1,3790
2020,4,7,1,3876
2020,4,8,1,3870
2020,4,9,1,3833
2020,4,10,1,3155
2020,4,11,1,3078
2020,4,12,1,2071
2020,4,13,1,2107
2020,4,14,1,3640
2020,4,15,1,3710
2020,4,16,1,3773
2020,4,17,1,3889
2020,4,18,1,2994
2020,4,19,1,2135
2020,4,20,1,3897
2020,4,21,1,3933
2020,4,22,1,4017
2020,4,23,1,4016
2020,4,24,1,4031
2020,4,25,1,3126
2020,4,26,1,2136
2020,4,27,1,4006
2020,4,28,1,4086
2020,4,29,1,4044
2020,4,30,1,4092
2020,5,1,1,4186
2020,5,2,1,2088
2020,5,3,1,1364
2020,5,4,1,2177
2020,5,5,1,4031
2020,5,6,1,4177
2020,5,7,1,4126
2020,5,8,1,4197
2020,5,9,1,3194
2020,5,10,1,2218
2020,5,11,1,4082
2020,5,12,1,4227
2020,5,13,1,4115
2020,5,14,1,4165
2020,5,15,1,4355
2020,5,16,1,3213
2020,5,17,1,2322
2020,5,18,1,4262
2020,5,19,1,4383
2020,5,20,1,4366
2020,5,21,1,4307
2020,5,22,1,4446
2020,5,23,1,3161
2020,5,24,1,2371
2020,5,25,1,4119
2020,5,26,1,4335
2020,5,27,1,4273
2020,5,28,1,4272
2020,5,29,1,4276
2020,5,30,1,3362
2020,5,31,1,2400
2020,6,1,1,2510
2020,6,2,1,4520
2020,6,3,1,4502
2020,6,4,1,107
2020,1,1,2,30963
2020,1,2,2,35467
2020,1,3,2,39523
2020,1,4,2,36080
2020,1,5,2,33805
2020,1,6,2,38720
2020,1,7,2,40528
2020,1,8,2,41637
2020,1,9,2,43514
2020,1,10,2,45551
2020,1,11,2,41275
2020,1,12,2,36997
2020,1,13,2,41014
2020,1,14,2,43444
2020,1,15,2,41578
2020,1,16,2,44419
2020,1,17,2,46266
2020,1,18,2,42157
2020,1,19,2,38801
2020,1,20,2,42054
2020,1,21,2,43336
2020,1,22,2,43772
2020,1,23,2,45150
2020,1,24,2,47058
2020,1,25,2,45242
2020,1,26,2,38811
2020,1,27,2,41872
2020,1,28,2,44931
2020,1,29,2,44154
2020,1,30,2,45474
2020,1,31,2,48636
2020,2,1,2,45574
2020,2,2,2,40661
2020,2,3,2,42526
2020,2,4,2,43652
2020,2,5,2,44275
2020,2,6,2,46241
2020,2,7,2,48381
2020,2,8,2,46332
2020,2,9,2,38368
2020,2,10,2,43339
2020,2,11,2,43264
2020,2,12,2,44645
2020,2,13,2,46965
2020,2,14,2,48688
2020,2,15,2,43472
2020,2,16,2,38407
2020,2,17,2,41335
2020,2,18,2,42765
2020,2,19,2,43945
2020,2,20,2,45310
2020,2,21,2,47959
2020,2,22,2,44465
2020,2,23,2,38089
2020,2,24,2,42374
2020,2,25,2,43536
2020,2,26,2,44612
2020,2,27,2,46742
2020,2,28,2,49309
2020,2,29,2,46333
2020,3,1,2,39842
2020,3,2,2,43093
2020,3,3,2,44305
2020,3,4,2,45687
2020,3,5,2,47108
2020,3,6,2,48810
2020,3,7,2,43143
2020,3,8,2,39844
2020,3,9,2,43284
2020,3,10,2,43367
2020,3,11,2,44435
2020,3,12,2,44468
2020,3,13,2,42458
2020,3,14,2,31786
2020,3,15,2,26503
2020,3,16,2,33507
2020,3,17,2,22574
2020,3,18,2,32637
2020,3,19,2,31778
2020,3,20,2,32177
2020,3,21,2,23301
2020,3,22,2,21965
2020,3,23,2,28574
2020,3,24,2,28580
2020,3,25,2,26792
2020,3,26,2,27045
2020,3,27,2,29151
2020,3,28,2,13414
2020,3,29,2,9326
2020,3,30,2,17640
2020,3,31,2,16438
2020,4,1,2,16536
2020,4,2,2,16814
2020,4,3,2,17742
2020,4,4,2,12382
2020,4,5,2,10168
2020,4,6,2,16751
2020,4,7,2,17076
2020,4,8,2,16693
2020,4,9,2,17093
2020,4,10,2,14912
2020,4,11,2,12263
2020,4,12,2,9381
2020,4,13,2,10168
2020,4,14,2,16791
2020,4,15,2,17426
2020,4,16,2,17756
2020,4,17,2,18075
2020,4,18,2,12812
2020,4,19,2,10292
2020,4,20,2,16943
2020,4,21,2,18043
2020,4,22,2,18562
2020,4,23,2,18553
2020,4,24,2,19232
2020,4,25,2,13744
2020,4,26,2,10723
2020,4,27,2,18321
2020,4,28,2,18501
2020,4,29,2,18483
2020,4,30,2,19698
2020,5,1,2,20330
2020,5,2,2,14505
2020,5,3,2,11846
2020,5,4,2,12505
2020,5,5,2,20799
2020,5,6,2,21435
2020,5,7,2,21189
2020,5,8,2,22219
2020,5,9,2,16878
2020,5,10,2,13233
2020,5,11,2,20514
2020,5,12,2,21271
2020,5,13,2,21891
2020,5,14,2,22512
